Name,Aliases,Nationality,Ethnicity
Haley Reed,"Amy May, Jamie Rott, Amy Ii",American,Caucasian
Brandi Love,Tracey Lynn Livermore,Unknown,Caucasian
Lilly Bell,Lily Bell,American,Caucasian
Rose Carter,Rose Caarter,American,Caucasian
Lexi Lore,Lexy Lore,American,Caucasian
Abigail Mac,"FTV Abigail, Abigail Mack",Unknown,Caucasian
Whitney Oc,Jessica Jackson,American,Caucasian
Sasha Tatcha,Unknown,American,Asian
Carolina Sweets,Stephanie,American,Caucasian
Aria Valencia,Ana Valencia,American,Caucasian
Scarlet Skies,Unknown,American,Caucasian
Freya Von Doom,Marsha,Unknown,Caucasian
Savvy Suxx,"Savannah Johnson, Savanna Rose",American,Caucasian
Kylie Rocket,Unknown,American,Caucasian
Kira Noir,Devi,Unknown,Black
Kat Marie,Goddess Kat Marie,American,Caucasian
Reagan Foxx,Kerrington Cruz,Unknown,Caucasian
Emma Hix,"Eryn Andrew, Crissy Kay, Jillene Catherine Bobyn, Emma Hicks",Canadian,Caucasian
Danielle Renae,Unknown,American,Caucasian
Dylan Moore,Unknown,Canadian,Caucasian
Charlotte Sartre,GothCharlotte,Unknown,Caucasian
Nicole Doshi,Nicole the Foreigner,"Chinese, American",Asian
Serena Hill,Unknown,American,Caucasian
Uma Jolie,"Madeline Clarck, Belicia FTV, Belicia Segura",American,Caucasian
Aaliyah Love,"Molly Star, Tamara, Princess Molly Star",American,Caucasian
Elsa Jean,"Molly, Elsa Dream, Elsa Dream Jean",American,Caucasian
Melissa Stratton,Kitty Baby,American,Caucasian
Chloe Temple,"Senorita Satan, Clara Fargo, Sharon Purcell",American,Caucasian
Riley Reid,"Paige Riley, Riley Reed, Molly",American,Caucasian
Olivia Jay,Olivia Jayy,Unknown,Black
Katie Kush,Bianca Dale,American,Caucasian
Millie Morgan,Unknown,Unknown,Caucasian
Becky Summer,Becky Summers,Unknown,Caucasian
Sadie Summers,"Tiny Tobi, Toby Pacific, Tobi Pacific, Tiny Toby",Canadian,Caucasian
Bella Rolland,Unknown,American,Caucasian
Diamond Foxxx,"Diamond Fox, Diamond Foxx",Unknown,Caucasian
Charlotte Sins,Unknown,American,Caucasian
Tori Black,"Shellie Chapman, Michelle Chapman, Victoria Black, Tory Black",American,Mixed
Violet Myers,"Luna Bunny, Thick Violet Violence, Violet Bunny",American,Mixed
Jewelz Blu,Jewelz Bly,"American, German",Caucasian
Molly Cute,Unknown,Unknown,Caucasian
Annie King,Unknown,American,Caucasian
Casey Calvert,Unknown,Unknown,Caucasian
Delilah Dagger,Unknown,American,Caucasian
Lacy Lennon,"Lacey Lennon, Lacey Lenon",American,Caucasian
Gina Valentina,"Victoria Celeste Carvalho, Gina Valentine",Brazilian,Latin
Stella Luxx,Unknown,American,Caucasian
Gigi Sweets,Unknown,American,Caucasian
Rory Knox,Unknown,Unknown,Caucasian
Ember Snow,Unknown,Unknown,Asian
Megan Rain,Kiana Coleman,American,Caucasian
Britney Amber,"Brittney Amber, Amber Rizzo, Brittany Angel, Brittany Amber",American,Caucasian
Cami Strella,Unknown,American,Latin
Skylar Snow,Unknown,American,Caucasian
Mia Malkova,"Madison Swan, Madison Clover, Mia Bliss, Jessica, Mia Mountain",American,Caucasian
Alina Lopez,"Aline Lopez, Aleena Lopez",American,Mixed
Katie Morgan,"Katie Megan, Kate Morgan, Sarah Carradine",American,Caucasian
Xxlayna Marie,Unknown,American,Latin
Francesca Le,"Francesca Lé, Erika Estrada, Franchesca Le, Francesca Le', Erica Estrada, Francesca Lei, Francesca Leigh, Franceska Le, Franchesca Leigh, Francesca Lee, Francessca Le'",Unknown,Latin
Sweet Sophia,Unknown,American,Caucasian
Sera Ryder,Unknown,American,Caucasian
Camilla Cream,Camila Cream,American,Unknown
