Name,Aliases,Nationality,Ethnicity
Marco Banderas,"Michael Duarte, Marco Duato, Marco Duarte",Unknown,Unknown
Draven Navarro,Unknown,"Italian, Mexican, American",Unknown
Tommy Gunn,Thomas Gunn,American,Caucasian
Juan Lucho,"Juan Luche, Juan Jucco, Juan Lucco, Juan Locho",Spanish,Caucasian
Dwayne Foxxx,Unknown,American,Black
Milan Ponjevic,"milan, Lanmi Miami, ulan",Serbian,Caucasian
Rusty Nails,Chas Carter,American,Caucasian
Lorenzo Viota,Lorenzo Viotta,French,Unknown
Liam Salvatore,Unknown,Czech,Caucasian
Oliver Davis,"Llewyn Davis, Oli Davis",American,Black
Peter Green,Unknown,American,Latin
Dimitri Shadow,Shadow Dimitri,British,Black
Scott Nails,"Scott Skools, Scott Mills, Cock Boy",American,Caucasian
Apollo Banks,Unknown,American,Caucasian
Jimmy Bud,Unknown,Spanish,Caucasian
Eddie Jaye,"Eddie Jay, Eddie J",American,Black
Brian Omally,Brian O'Mally,American,Caucasian
Tony Marzo,Unknown,Unknown,Caucasian
Derek Savage,Unknown,Unknown,Black
Adonis Breeds,Unknown,American,Unknown
Codey Steele,Unknown,Unknown,Unknown
Renato,"Mark Barbins or Federique Button or Nick Chines, Renato Rush, Herry Palmer, Marc Lobste, Emil Moldovan, Pierre or Thomas or uncredited, Jassen or Riccardo, Renato Douglas, Marc Hens or Alez Belli or Cristoph, Reno, Rick Renato, Paolo il Brigante, Degey or uncredited, Leonardo, Ranato, Trainee",Hungarian,Caucasian
Mad Bundy,"Mat Bundy, Max, Damien, Mark Dozer, Michael, Larry, Tom",Czech,Caucasian
Kaby Snow,Unknown,American,Black
Pierce Paris,"Pierce, Brother Hales, Leo Winston, Pierce Hartman",American,Caucasian
Brady Bud,Unknown,Spanish,Caucasian
Richard Glaze,Unknown,American,Caucasian
Mazee The Goat,Unknown,American,Black
Mickey Taylor,Unknown,British,Caucasian
J. Crew,"Jay Crew, Jake Jacobs, Jay Cobb, Jason Crew, Jake Crew",American,Caucasian
Boswell Black,"Neji B, Mr Pulloutskeet",American,Black
James Deen,Unknown,Unknown,Caucasian
Billy Boston,Unknown,American,Caucasian
Michael Delray,"Ben Knox, Elder Ence, Michael Del Ray",American,Caucasian
Joachim Kessef,"Gustave Bogassà, Joachim Keseff, Joachim Lawson, Joachin Kessef, Joackim Kessev, Joackim Lawson, Joahim Kessef",Unknown,Black
Chris Diamond,Chris Diamondx,Spanish,Caucasian
Jonathan Jordan,Unknown,American,Black
Jaxson Briggs,Jaxon,American,Black
Josh Rivers,Unknown,Unknown,Unknown
Peter Fitzwell,Unknown,American,Caucasian
John Strong,"Yury, Yuri, Jon Strong",American,Caucasian
Romeo Mancini,Unknown,Unknown,Caucasian
Lucky Fate,Lucky Fae,American,Caucasian
Tony Sting,"Tony, Raiin",Russian,Caucasian
Victor Ray,Unknown,American,Caucasian
Rocco Siffredi,Unknown,Unknown,Caucasian
Coal Daniels,The Real Cowboy Daddy,American,Unknown
Dredd,Dred,American,Black
Zac Drogba,"Jody Nikolas, Tomas Fuk, Daniel, Deny Lou, Thomas Fuk",Czech,Caucasian
Ian Scott,"Yannick Dure, Yannick Simon, Yanick Kangoo, Gerard D'Mattant, Yannick Shaft, Yannick Noah, Yann Legall, Ian Stone, Jan Scoot, Yann Claus, Ian Scot",Unknown,Caucasian
Elias Cash,Elias Kash,Brazilian,Latin
Johnny Goodluck,Unknown,American,Caucasian
Raul Costa,Raoul Costa,Italian,Caucasian
Nick Strokes,Unknown,American,Caucasian
Tony Rubino,Unknown,Unknown,Caucasian
Alex Charger,"Alex Spitter, Max Charger",American,Caucasian
Nick Ross,"Blake, Nick Gill, Harry, Eduard, Jack (x-art.com), Nathan, Nick R., Luke Hanson, Leo Stiller, Edward, Edvard, Edward Ross, Mark Franks, Eduardo, Aaron",Czech,Caucasian
Gemini Jay,"Kellen Jay, Kellen Rogers",American,Asian
Jamie Knoxx,Unknown,American,Black
Juan Largo,Unknown,Unknown,Unknown
Ryan Mclane,Unknown,Unknown,Unknown
